name,category,cuisine,rating,reviews,price,status,address,postal_code,city,phone,website,opening_hours,tags,latitude,longitude,maps_url,place_id
Ruk Thai Tai Köök Kadriorg,Thai Restaurant,Thai,5.0,117,$$,Open,A. Weizenbergi tn 9,10150,Tallinn,+372 5650 6357,http://www.rukthai.ee/,Mon 12:00-20:00; Tue 12:00-20:00; Wed 12:00-20:00; Thu 12:00-20:00; Fri 12:00-20:00; Sat 12:00-20:00; Sun closed,Thai Restaurant,59.439020,24.778672,https://maps.google.com/?cid=4782107412051201906,ChIJUdUjCV2TkkYRcg8TxVp1XUI
Kartul,Restaurant,,5.0,101,$,Open,Kopli tn 16,10412,Tallinn,+372 529 2456,https://kartul.space/,Mon closed; Tue closed; Wed 12:00-20:00; Thu 12:00-20:00; Fri 12:00-23:00; Sat 12:00-23:00; Sun 12:00-20:00,Cafe; Bar,59.441827,24.733238,https://maps.google.com/?cid=6753440464125635272,ChIJS2PX_Y6TkkYRyCr1I1IKuV0
Austerium oyster bar & wine,Oyster Bar Restaurant,Seafood,5.0,95,$$$,Open,Rävala pst 19,10143,Tallinn,+372 5622 3688,http://www.austerium.ee/,Mon closed; Tue 17:00-21:00; Wed 17:00-21:00; Thu closed; Fri 17:00-22:00; Sat 17:00-21:00; Sun closed,Oyster Bar Restaurant; Wine Bar; Bar; Farm; Seafood Restaurant; Service,59.430621,24.748519,https://maps.google.com/?cid=12099634709869731183,ChIJcZzHCzeVkkYRb53FeamJ6qc
Grüne Resto,Restaurant,,5.0,45,$,Open,Meistri tn 14,13517,Tallinn,+372 5668 0540,https://restogryne.ee/,Mon 08:30-15:30; Tue 08:30-15:30; Wed 08:30-15:30; Thu 08:30-15:30; Fri 08:30-15:30; Sat closed; Sun closed,Wedding Venue; Event Venue; Service,59.414291,24.661509,https://maps.google.com/?cid=13814589807582779869,ChIJs2xWQLKVkkYR3Rm0tjxIt78
Ocean Sushi Tallinn,Sushi Restaurant,Japanese,5.0,39,$$,Open,Liivalaia tn 14,10118,Tallinn,+372 5858 4582,https://oceansushi.ee/,Mon 11:00-22:00; Tue 11:00-22:00; Wed 11:00-22:00; Thu 11:00-22:00; Fri 11:00-23:00; Sat 11:00-23:00; Sun 11:00-22:00,Sushi Restaurant; Japanese Restaurant,59.427614,24.747576,https://maps.google.com/?cid=98547156745918478,ChIJx8oey_-VkkYRDhh37x0cXgE
KIN KIN Taiköök,Thai Restaurant,Thai,5.0,29,$$,Open,Katusepapi tn 4/1,11412,Tallinn,+372 5846 6190,,Mon 10:30-19:00; Tue 10:30-19:00; Wed 10:30-19:00; Thu 10:30-19:00; Fri 10:30-19:00; Sat 11:00-18:00; Sun 12:00-18:00,Thai Restaurant,59.427563,24.782701,https://maps.google.com/?cid=11638165935652800597,ChIJ8dmu7cGVkkYRVQijv0ESg6E
Don Kartashon,Bar,,5.0,26,$$,Open,C. R. Jakobsoni tn 4,10128,Tallinn,+372 5346 9342,https://donkartashon.eu/,Mon closed; Tue 12:00-20:00; Wed 12:00-20:00; Thu 12:00-20:00; Fri 12:00-22:00; Sat 12:00-22:00; Sun closed,Bar; Fast Food Restaurant,59.431938,24.769420,https://maps.google.com/?cid=9328560757232767725,ChIJMS3wbSiVkkYR7RKCeJW0dYE
Saffron Restoran,Asian Restaurant,Asian,4.9,733,$$,Open,Gonsiori tn 12,10117,Tallinn,+372 558 4898,https://www.saffronrestoran.com/,Mon 11:00-23:00; Tue 11:00-23:00; Wed 11:00-23:00; Thu 11:00-23:00; Fri 11:00-23:00; Sat 11:00-23:00; Sun 11:00-23:00,Asian Restaurant,59.434820,24.761991,https://maps.google.com/?cid=364066745150538279,ChIJQerzCduTkkYRJwI7m8ZsDQU
Ramen Taro Laulupeo,Ramen Restaurant,Japanese,4.9,530,$$,Open,Laulupeo tn 1,10121,Tallinn,+372 335 7735,https://www.ramentaro2023.com/,Mon 11:30-18:00; Tue 11:30-18:00; Wed 11:30-18:00; Thu 11:30-18:00; Fri 11:30-21:00; Sat 11:30-21:00; Sun 11:30-18:00,Ramen Restaurant; Noodle Shop; Japanese Restaurant,59.430261,24.772687,https://maps.google.com/?cid=18434660165404922851,ChIJAYRP8LuTkkYR4xMB2r8R1f8
Pizzeria Santa Lucia,Pizza Restaurant,Pizza,4.9,455,$$,Open,Kopli tn 27,10412,Tallinn,+372 5802 7586,https://santalucia.pizza/,Mon closed; Tue 16:00-22:00; Wed 16:00-22:00; Thu 16:00-22:00; Fri 16:00-22:00; Sat 13:00-22:00; Sun closed,Pizza Restaurant,59.449203,24.710323,https://maps.google.com/?cid=2640783189742611117,ChIJ5_Tggu6VkkYRrWpu0VHypSQ
