decision,notes,already_on_site,name,rating,reviews,price,cuisine,category,suggested_types,flag,address,postal_code,opening_hours,phone,website,maps_url,suggested_id,price_band,lat,lng,place_id
,,,Ruk Thai Tai Köök Kadriorg,5.0,117,$$,Thai,Thai Restaurant,restaurant; asian,,"A. Weizenbergi tn 9, 10150 Tallinn",10150,Mon 12:00-20:00; Tue 12:00-20:00; Wed 12:00-20:00; Thu 12:00-20:00; Fri 12:00-20:00; Sat 12:00-20:00; Sun closed,+372 5650 6357,http://www.rukthai.ee/,https://maps.google.com/?cid=4782107412051201906,ruk-thai-tai-kook-kadriorg,2,59.439020,24.778672,ChIJUdUjCV2TkkYRcg8TxVp1XUI
,,,Austerium oyster bar & wine,5.0,95,$$$,Seafood,Oyster Bar Restaurant,restaurant,,"Rävala pst 19, 10143 Tallinn",10143,Mon closed; Tue 17:00-21:00; Wed 17:00-21:00; Thu closed; Fri 17:00-22:00; Sat 17:00-21:00; Sun closed,+372 5622 3688,http://www.austerium.ee/,https://maps.google.com/?cid=12099634709869731183,austerium-oyster-bar-wine,3,59.430621,24.748519,ChIJcZzHCzeVkkYRb53FeamJ6qc
,,,Osteria Moderna Itaalia Restoran,4.9,415,$$,,Restaurant,restaurant,,"Tina tn 21, 10126 Tallinn",10126,Mon closed; Tue 16:00-21:30; Wed 16:00-21:30; Thu 16:00-21:30; Fri 16:00-22:00; Sat 16:00-22:00; Sun closed,+372 5387 8848,https://www.osteriamoderna.ee/,https://maps.google.com/?cid=11895670272430842404,osteria-moderna-itaalia-restoran,2,59.435926,24.770253,ChIJa-HQBOOVkkYRJCJqORbpFaU
,,,HalaLish Telliskivi,4.9,241,$$,,Fast Food Restaurant,restaurant,,"Telliskivi tn 24, 10611 Tallinn",10611,Mon 12:00-00:00; Tue 12:00-00:00; Wed 12:00-00:00; Thu 12:00-00:00; Fri 12:00-01:00; Sat 12:00-01:00; Sun 12:00-00:00,+372 5835 7478,https://halalish.ee/,https://maps.google.com/?cid=11299354031685095655,halalish-telliskivi,2,59.435897,24.720951,ChIJsU62_W6VkkYR59D3EaBez5w
,,,Akadeemia Kohv,4.9,214,$,,Coffee Shop,coffee; cheap-eats,,"Akadeemia tee 24, 12611 Tallinn",12611,Mon 09:00-18:00; Tue 09:00-18:00; Wed 09:00-18:00; Thu 09:00-18:00; Fri 09:00-18:00; Sat 09:00-18:00; Sun 09:00-16:00,+372 5686 0674,https://akadeemiakohv.ee/,https://maps.google.com/?cid=16015525508568982112,akadeemia-kohv,1,59.397313,24.666831,ChIJI64XVgCVkkYRYCJ2nZiTQt4
,,,Nora's Kitchen,4.9,166,$$,Filipino,Filipino Restaurant,restaurant; asian,,"Pärnu mnt. 32, 10141 Tallinn",10141,Mon closed; Tue 11:00-20:00; Wed 11:00-20:00; Thu 11:00-20:00; Fri 11:00-20:00; Sat 11:00-20:00; Sun 11:00-20:00,+372 8127 5709,https://noraskitcheneesti.com/,https://maps.google.com/?cid=11139560434017308639,nora-s-kitchen,2,59.430498,24.744872,ChIJ0zHU-reTkkYR3w-Z3zGrl5o
,,,Bagus Bali,4.9,117,$,Indonesian,Indonesian Restaurant,restaurant; asian; cheap-eats,,"Raudtee tn 15, 11621 Tallinn",11621,Mon closed; Tue 12:00-19:00; Wed 12:00-19:00; Thu 12:00-19:00; Fri 12:00-20:00; Sat 12:00-20:00; Sun closed,+372 5687 6131,https://www.facebook.com/p/Bagus-Bali-61571619090499/,https://maps.google.com/?cid=2623149960498310110,bagus-bali,1,59.385906,24.686810,ChIJL9dJDgCVkkYR3usUtP1MZyQ
,,,Balagan,4.9,97,$$,Middle Eastern,Middle Eastern Restaurant,restaurant,,"Kalma tn 11, 10411 Tallinn",10411,Mon closed; Tue 10:00-21:00; Wed 10:00-21:00; Thu 10:00-21:00; Fri 10:00-21:00; Sat 10:00-21:00; Sun 10:00-21:00,+372 512 5064,http://balagan.st/,https://maps.google.com/?cid=2703532413529299834,balagan,2,59.443323,24.734787,ChIJH24JGYaTkkYRehsr-2fghCU
,,,Veska Söök ja Kook kohvik,4.9,81,$,,Restaurant,restaurant; cheap-eats,,"Mustjõe tn 43, 10617 Tallinn",10617,Mon 08:30-15:00; Tue 08:30-15:00; Wed 08:30-15:00; Thu 08:30-15:00; Fri 08:30-15:00; Sat closed; Sun closed,+372 5612 2156,http://www.veska.ee/,https://maps.google.com/?cid=12242521389811524425,veska-sook-ja-kook-kohvik,1,59.423820,24.684939,ChIJGxeLmCyVkkYRSWPWIlcs5qk
,,,Pastalicious,4.9,80,$$,,Restaurant,restaurant,,"Türi tn 7, 11314 Tallinn",11314,Mon closed; Tue 12:00-19:00; Wed 12:00-21:00; Thu 12:00-21:00; Fri 12:00-22:00; Sat 15:00-21:00; Sun closed,+372 5889 8654,,https://maps.google.com/?cid=14098388482821085546,pastalicious,2,59.409606,24.742414,ChIJYbmNIaCVkkYRalkC8KCJp8M
